 ,,,,,,,
,,,,,,,
Reading,Question,Answer,A,B,C,D,E
,明日はともだちのたんじょうびだから、プレゼントを＿。,買います,買います,町,立ちます,持ちます,
,カルガリー大学のがくせいだから、カルガリに＿。,住んでいます,売ります,住んでいます,書きます,話します,
,＿とごはんを食べます。,友だち,長,夜,年,友だち,
,あした、たけしさんは私のパーティーに食べものを＿。,持ってきます,持ってきます,持っていきます,言います,考えます,
,この＿のなまえはカルガリーです。,町,自分,正しい,町,道,
,あのみせは車を＿います。,売っています,住んでいます,売っています,話しています,立っています,
,この女の人のかみは＿です。,長い,新しい,小さい,長い,高い,
,あぶないですから、ここに＿,立たないでください。,見ないでください。,聞かないでください。,買わないでください。,立たないでください。,
,今年は２０２４年です。＿は２０２５です。,来年,今年,来年,年,去年,
,毎＿７時にパンとたまごを食べる。,朝,朝,夜,午後,今,
,「今年」はなんと読みますか。,ことし,きょうねん,きょうとし,ことし,こねん,
,一人で「住んでいる」。,すんでいる,すんでいる,ずんでいる,つんでいる,づんている,
,私は「三年生」です。,さんねんせい,さんねんせえ,さんねんせい,ざんねんせえ,さんとしせい,
,この「道」は小さいです。,みち,みちい,みび,みいち,みち,
,「今朝」大学に行きました。,けさ,あさ,けさ,きさ,ちょう,
,雪,snow,rain,electricity,snow,train,
,正しい,right,wrong,right,New Year,noon,
,買う,to buy,to sell,to write,to buy,to hear,
,夜,night,morning,noon,P.M.,night,
,持つ,to hold,to use,to see,to wait,to hold,
