 ,,,,,,,
,,,,,,,
Reading,Question,Answer,A,B,C,D,E
,先生、メアリーさんは＿＿＿＿＿になりましたから、今日は休みです。,病気,病院,痛気,痛院,病気,
,昨日、たけしと＿＿＿＿＿を見たり、買い物をしたりしました。,映画,英画,画家,計画,映画,
,田中さんはどこで＿＿＿＿＿のが好きですか。,勉強する,勉強する,免強する,便教する,勉教する,
,日本へ＿に行きたいです。,旅行,旅行,旅飲,旅館,旅飯,
,この文法を＿＿＿＿＿ください。,説明して,話明して,説して,説明して,話して,
,最近、どうですか。,さいきん,さいきん,さいぎん,ざいきん,ざいぎん,
,昨日、たけしさんは病院に行ったと思います。,びょういん,ぴょういん,びょいん,びょういん,びよいん,
,あの人は有名な人ですか。,ゆうめいな,ゆぅめいな,ゆめいな,ゆうめな,ゆうめいな,
,先週、友だちとカラオケでたくさん歌を歌いました。,うた,うた,うだ,うたう,うたう,
,先週、友だちとカラオケでたくさん歌を歌いました。,うたいました,うだいました,うたいいました,うたういました,うたいました,
,夜にお兄さんとアニメを見たり、漫画を読んだりしました。,まんが,まんか,まんが,もんか,もんが,
,いちばん近い美容院はどこですか。,ちかい,ちがい,ちかい,じがい,じがい,
,いちばん近い美容院はどこですか。,びよういん,びょういん,ぴょういん,びよういん,ぴよういん,
,誰がこの手紙を書きましたか。,てがみ,でかみ,てかみ,でがみ,てがみ,
,夏が好きな人はたくさんいます。,すきな,すきな,このきな,ずきな,こうきな,
,私はあかるい色がすきです。,明るい,明かるい,明かろい,明るい,明い,
,私はあかるい色がすきです。,好き,好き,奴き,女子き,大好き,
,だいがくいんに行くつもりですか。,大学院,太学院,大学院,大学険,太学険,
,"A：どこにりょこうしましたか。 
B：かわぐちしに行きました。",旅行,料行,旅館,旅行,放行,
,"A：きょうはどこにいきますか。
B：し役所に行きます。",市,市,四,子,日,
