 ,,,,,,,
,,,,,,,
Reading,Question,Answer,A,B,C,D,E
,"Choose the correct particle. 
メアリーさん＿あいます。",に,を,に,が,は,
,"Choose the correct particle. 
おてらはこうえん＿ひだりです。",の,は,に,の,が,
,"Choose the correct particle. 
私はとうきょうにいきました。やましたせんせい＿とうきょうにいきました。",も,はも,にも,も,に,
,"Choose the correct particle. 
たけしさんはいえでべんきょうしました。だいがく＿べんきょうしました。",でも,で,も,でも,に,
,"Choose the correct particle. 
かばん＿かいます。",を,を,は,が,に,
,"Choose the correct particle. 
わたしはしゃしん＿とります。",を,を,は,が,も,
,"Choose the correct particle.
たけしさんはメアリーさん＿まちます。",を,が,は,に,を,
,"Choose the correct particle.
わたしはがっこう＿中のカフェにいきました。",の,は,にも,の,が,
,"Choose the correct sentence for ""I returned home at around 7.""",わたしはしちじにいえにかえりました。,わたしはいえにかえりました。,わたしはしちじにいえにかえりました。,わたしはいえしちじかえりました。,わたしはいえにかえります。,
,"Choose the correct sentence for ""I did not eat.""",わたしはたべませんでした。,わたしはたべました。,わたしはたべます。,わたしはたべませんでした。,わたしはたべません。,
,"Choose the correct sentence for ""Yesterday, I did not study.""",きのうべんきょうしませんでした。,きょうべんきょうしませんでした。,きのうべんきょうします。,きのうべんきょうしませんでした。,きょうべんきょうしません。,
,"Choose the correct sentence for ""I took many photos at school.""",がっこうでたくさんしゃしんをとりました。,がっこうでしゃしんをとりました。,がっこうでたくさんしゃしんをとりません。,がっこうでたくさんしゃしんをとります。,がっこうでたくさんしゃしんをとりました。,
,"Choose the correct sentence for ""Yesterday, I did not go to the bookstore.""",きのうほんやにいきませんでした。,きのうほんやにいきます。,きのうほんやにいきません。,きのうほんやにいきませんでした。,きのうほんやにいきました。,
,"Choose the correct sentence for ""I waited for Mary for two hours.""",わたしはマリーさんを２じかんまちました。,わたしはマリーさんと2じかんまちます。,わたしはマリーさんに2じかんまちます。,わたしはマリーさんを２じかんまちます。,わたしはマリーさんを２じかんまちました。,
,Complete the sentence あそこにいぬが＿。（formal speech style）,います,いる,ある,います,あります,
,"Complete the sentence 
カメラが＿。(I have a camera)",あります。,いません。,ありません。,います。,あります。,
,"Complete the sentence 
きのう、クラスが＿。（Yesterday, there was no class)",ありませんでした,しました,ありました,います,ありませんでした,
,"Complete the sentence 
としょかんはレストランの＿です。(The library is in front of the restaurant)",まえ,まえ,した,うえ,ひだり,
,"Complete the sentence 
きのう、わたしは＿ねました。(Yesterday, I slept for about nine hours)",くじかんぐらい,くじかん,きゅうじかん,くじかんぐらい,きゅうじかんぐらい,
,"Complete the sentence 
ほんはつくえの＿です。(The book is on top of the desk.)",うえ,まえ,みぎ,うえ,した,
