 ,,,,,,,
,,,,,,,
Reading,Question,Answer,A,B,C,D,image
,きょう、はなを＿＿＿＿＿。,買いました（かいました）,買いました（かいました）,待ちました（まちました）,書きました（かきました）,会いました（あいました）,
,こうえんで＿＿＿＿＿をたくさん撮りました。,写真（しゃしん）,花（はな）,机（つくえ）,写真（しゃしん）,子供（こども）,
,＿＿＿＿＿をたべましたか。,ご飯（ごはん）,町（まち）,レポート,いす,ご飯（ごはん）,
,時間（じかん）が＿＿＿＿＿か。,あります,買います（かいます）,あります,撮ります（とります）,会います（あいます）,
,あした、＿＿＿＿＿があります。,クラス,クラス,こども,ひと,おてら,
,水曜日,Wenesday,Monday,Tuesday,Wednesday,Thursday,
,火曜日,Tuesdau,Monday,Tuesday,Thursday,Friday,
,月曜日,Monday,Monday,Tuesday,Wednesday,Friday,
,木曜日,Thursday,Monday,Wednesday,Thursday,Friday,
,金曜日,Friday,Monday,Wednesday,Thursday,Friday,
,左,Left,Right,Left,Front,Back,
,前,Front,Right,Front,Back,Inside,
,右,Right,Right,Left,Front,Inside,
,中,Inside,Right,Front,Back,Inside,
,後ろ,Back,Right,Left,Back,Inside,
,Park,こうえん,スーパー,びょういん,おてら,こうえん,
,Hospital,びょういん,スーパー,びょういん,ほんや,こうえん,
,Temple,おてら,びょういん,ほんや,おてら,こうえん,
,Supermarket,スーパー,スーパー,びょういん,ほんや,おてら,
,Bookstore,ほんや,スーパー,ほんや,おてら,こうえん,
