 ,,,,,,,
,,,,,,,
Reading,Question,Answer,A,B,C,D,E
,せんせい＿ききます。,に,に,を,が,は,
,すし＿すきです。,が,に,を,が,は,
,じてんしゃ＿のります。,に,に,を,が,は,
,きのうのてんきは＿。,さむくなかったです,さむくないです。,さむくなかったです。,さむいないです。,さむいかったです。,
,このこどもは＿。,げんきです,げんきなです。,げんきじゃなです。,げんきです。,げんきくないです。,
,ごめんなさい、わたしは＿。,いそがしいです。,いそがしです。,いそがしいです。,いそがしなです。,いそがしい。,
,おとうとのへやは＿。,きれいじゃないです。,きれいなじゃないです。,きれくないです。,きれいじゃなくないです。,きれいなです。,
,このテレビをみません。テレビは＿。,よくないです,よくです。,よくないです。,よくじゃないです。,いいありません。,
,このほんをみました。＿。,あたらしかったです。,あたらしいです。,あたらしいかったです。,あたらしかったです。,あたらしいでした。,
,わたしのいもうとは２０さいです。＿。,ちいさくないです。,ちさいです。,ちさくなです。,ちさいじゃないです。,ちさくないです。,
,A：きのう、そのこうえんはにげやかでしたか。　B：いいえ、＿。,にぎやかじゃなかったです。,にぎやくないです。,にぎやくなかったです。,にぎやかじゃないです。,にぎやかじゃなかったです。,
,A：たけしさんのパーティーはどうでしたか。B：ちょっと＿。,よくなかったです。,よくなかったです。,よくないです。,よくなじゃないです。,よくないでした。,
,あした、＿えいがをみまます。,おもしろい,おもしろ,おもしろい,おもしろいな,おもし,
,やましたせんせいは＿せんせいですな。,やさしい,やさしい,やさし,やさしな,やさしいな,
,しゅくだいがありません。＿ひです。,ひま,ひま,ひまな,ひまの,ひまなの,
,さかなを＿。,すきでもきらいでもないです。,すきなです。,きらいなです。,すきでもきらいでもです。,すきでもきらいでもないです。,
,わたしの＿えいがは「Avengers」です。,すきな,すき,すきな,きらい,きらいな,
,このしゅくだいはむずかしです。いっしょうにしゅくだいを＿。,むずかしい,しますか。,しましょか。,しましょう。,しましょうか。,
,うみです！いっしょうに＿。,およぎましょうか。,およぎましょうか。,およぎますか。,およぐましょう。,およぐましょうか。,
,メアリーさんはTシャツを＿があります。,さんまい,さんかい,さん,さんまい,さんま,
