 ,,,,,,,
,,,,,,,
Reading,Question,Answer,A,B,C,D,image
,What is travel in Japanese?,りょこう,うみ,おみやげ,りょこう,やすみ,
,What's surfing in Japanese?,サーフィン,サービス,サーバー,サーフィン,サークル,
,What is boring in Japanese?,つまらない,あたらしい,あつい,つまらない,おもしろい,
,What is fruit in Japanese?,くだもの,のみもの,くだもの,たべもの,買いもの,
,What is weather in Japanese,てんき,てんき,でんき,でんぎ,げんき,
,What is homework in Japanese?,しゅくだい,おみやげ,こわい,しゅくだい,しゅうくだい,
,What's small in Japanese?,ちいさい,ちいさう,ちいさい,さいちい,ちさい,
,What's busy in Japanese?,いそがしい,いそがしい,いそかしい,やさしい,むずかしい,
,What's difficult in Japanese?,むずかしい,はずかしい,むずかしい,むかしい,むらさき,
,What's cheap in Japanese?,やすい,やすみ,やる,やすい,やさしい,
,"Fill in the blank:

Souvenir
おみ_____",やげ,やき,やげ,やく,やす,
,"Fill in the blank:

very
____ても",と,ど,も,や,と,
,"Fill in the blank:

to hate（～が）
き_____",らい,らい,れい,るい,く,
,What is the opposite word for ふるい？,あたらしい,おおきい,あたらしい,つまらない,やさしい,
,ひま（な）,not busy,busy,beautiful,not busy,new,
,いっしょに,together,it's okay,interesting,extremely,together,
,のる,to ride,to ride,to swim,to ask,to perform,
,どんな,what kind of,very,funny,what kind of,healthy,
,たんじょうび,birthday,large,monday,birthday,difficult,
,およぐ,to swim,to watch,to sell,to swim,to ask,
