 ,,,,,,,
,,,,,,,
Reading,Question,Answer,A,B,C,D,E
,円安が続き、経済の回復の_きざし_が見えない。,兆し,理し,前し,兆し,掛し,
,鈴木さんは２時間も_ねばりづよく_問題に取り組んでいた。,粘り強く,粘り強く,諦り強く,件り強く,試り強く,
,息子に机の上を_ふく_よう頼んだ。,拭く,脱く,吹く,乾く,拭く,
,タイヤは日々走ることで_まさつ_が起きて消耗する。,摩擦,磨耗,削札,摩耗,摩擦,
,電車の遅延によって計画に_じゃっかん_の遅れが生じた。,若干,弱冠,少間,多少,若干,
,背中を_反る_ストレッチ。,そる,そる,ひねる,ねじる,はんる,
,新しいタレントの台頭によって人気が_下火_になってきた。,したび,げひ,したび,したか,かび,
,特定のターゲット層を_狙って_、広告キャンペーンが展開された。,ねらって,ぼうって,ねらって,もとめって,さらって,
,とても楽しい旅行だったから_名残_惜しい。,なごり,なざん,めいざん,こうかい,なごり,
,_真心_を込めて作ってくれたものならなんでも嬉しい。,まごころ,しんしん,まこころ,まごころ,しんこ,
