 ,,,,,,,
,,,,,,,
Reading,Question,Answer,A,B,C,D,E
,"How do you say ""Sora is Korean""",ソラさんはかんこくじんです。Sora san wa kankokujin desu,ソラさんはかんこくです。Sora san wa kankoku desu,ソラさんはかんこくじんです。Sora san wa kankokujin desu,ソラさんはかんこくじんですか。Sora san wa kankokujin desuka,ソラさんはかんこくですか。Sora san wa kankoku desuka,
,"How do you say ""How old are you?""",なんさいですか。nansaidesuka,なんですか。nandesuka,さいです。saidesu,なんさいです。nansaidesu,なんさいですか。nansaidesuka,
,わたし＿がくせいです。watashi _ gakusee desu.,は ha,は ha,を wo,に ni,の no,
,What is the correct meaning of the following sentence? メアリーさんはなんねんせいですか。meariisan wa nannensei desuka,"How old are you, Mary?","How old are you, Mary?",Mary is seven years old.,"Are you seven years old, Mary?",What year is Mary?,
,Choose the most correct translation for the following sentence: にねんせいです。ninenseidesu,I am a second year student.,I am two years old.,"As for me, I am a second year student.",I am a second year student.,"As for me, I am two years old.",
,"How do you say ""University of Calgary student""",カルガリーだいがくのがくせい karugarii daigaku no gakusei,カルガリーだいがくがくせい　karugari daigaku gakusei,カルガリーだいがくのがくせい karugarii daigaku no gakusei,がくせいのカルガリーだいがく gakusei no karugarii daigaku,カルガリーのがくせい karugariinogakusei,
,"How do you say ""Mary's phone number""",メアリーさんのでんわばんごう meari san no denwa bangou,メアリーさんはでんわばんごうです mearisan ha denwa bangou desu,メアリーさんでんわばんごう mearisan denwa bangou,メアリーさんのでんわばんごう meari san no denwa bangou,でんわばんごうのメアリーさん denwa bangou no meari san,
,Choose the correct meaning of the following sentence: たかしさんのおとうさんはだいがくのせんせいです。 takeshisan no otousan ha daigaku no sensei desu,Takeshi's father is a university teacher.,Takeshi is a university teacher.,Takeshi's dad is a teacher.,Takeshi's father is a teacher.,Takeshi's father is a university teacher.,
,Choose the correct meaning of the following sentence: ソラさんのせんこうはにほんごですか。 sorasan no senkou ha nihongo desuka,Is Sora's major the Japanese language?,Is Sora's major the Japanese language?,Sora's major is the Japanese language.,What is Sora's major?,My major is the Japanese language.,
,＿ですか (Are you a highschool student?),こうこうせい koukousei,がくせい　gakusei,こうこうせい koukousei,こうこうがくせい koukougakusei,こうこうがくせえ koukougakusee,
,"How do you say: ""Is it seven o'clock?",しちじですか。shichiji desuka,ななじです。nanajidesu,ななじですか。nanaji desuka,しちじです。shichiji desu,しちじですか。shichiji desuka,
,"How do you say: ""Sora, are you twenty years old?""","ソラさん、にじゅっさいですか。sorasan, nijyussai desuka",ソラさんはなんさいですか。sorasan wa nannsai desuka,ソラさんははたちです。sorasan wa hatachi desu,"ソラさん、にじゅっさいですか。sorasan, nijyussai desuka",ソラさんはにじゅっさいですか。Sorasan wa nijyussai desuka,
,"How do you say the following: ""It is 876-5039""",はちななろくごゼロさんきゅうです。hachi nana roku go zero san kyuu desu,はちななろくごゼロさんきゅうです。hachi nana roku go zero san kyuu desu,はちしちろくごゼロさんきゅうです。hachi shichi roku go zero san kyuu desu,はちななろくごゼロさんくです。hachi nana roku go zero san ku desu,はちしちろくごゼロさんくです。hachi shichi roku go zero san ku desu,
,"Choose the correct translation for ""ごぜんじゅういちじはっぷんです” gozen jyuuichiji happun desu",It is 11:08 AM.,It is 10:18 PM.,It is 10:18 AM.,It is 11:08 PM.,It is 11:08 AM.,
,"How do you say ""Is it 9 o'clock right now?""",いまくじですか。ima kuji desuka,いまきゅうじです。ima kyuuji desu,いまくじです。ima kuji desu,いまくじですか。ima kuji desuka,いまきゅうじですか。ima kyuuji desuka,
,"How do you introduce yourself by saying ""My name is takashi""?",わたしのなまえはたかしです。watashi no namae ha takashi desu,わたしはたかしさんです。watashi wa takashisan desu,わたしのなまえはたかしです。watashi no namae ha takashi desu,わたしのなまえです。watashi no namae desu,わたしのなまえはたかしさんです。watashi no namae ha takashisan desu,
,"How do you say ”Thank you"" politely?",ありがとうございます。arigatou gozaimasu,ありがとう。arigatou,こんにちは。konnnichiwa,すみません。sumimasen,ありがとうございます。arigatou gozaimasu,
,What do you say before a meal?,いただきます itadakimasu,いってきます ittekimasu,おかえりなさい okaerinasai,いただきます itadakimasu,ただいま tadaima,
,"How do you say: ""What is Naomi's phone number?""",ナオミさんのでんわばんごうはなんですか。Naomisan no denwa bangou wa nanndesuka,ナオミさんのばんごうです。Naomisan no bangou desu.,ナオミさんのでんわばんごうはなんですか。Naomisan no denwa bangou wa nanndesuka,でんわばんごうはなんですか。denwa bangou wa nandesuka,ナオミさんのでんわばんごうです。naomisan no denwa bangou desu,
,"Your Japanese friend told you some new information and you want to acknowledge it, how do you best convey ""I see.""",そうですか。soudesuka (with falling intonation),そうです。soudesu,そうですか。soudesuka (with rising intonation),そうですか。soudesuka (with falling intonation),ありがとう。arigatou,
