 ,,,,,,,
,,,,,,,
Reading,Question,Answer,A,B,C,D,E
,だいがく daigaku,college;university,college;university,university student,big,student,
,わたし watashi,I,my friend,people,mother,I,
,いしゃ isha,doctor,that's right,doctor,nurse,teacher,
,かいしゃいん kaishain,office worker,office worker,politics,business,lawyer,
,かんこく kankoku,Korea,China,Britain,Korea,India,
,しゅふ shufu,housewife,housewife,lawyer,nurse,teacher,
,student,がくせい gakusei,がくせ gakuse,があくせい gaakusei,がくせえ gakusee,がくせい gakusei,
,major,せんこう senkou,せんこ senko,せんこう senkou,せこう sekou,せんこお senkoo,
,number,ばんごう bangou,ばんごう bangou,いま ima,なまえ namae,あのう anoo,
,telephone,でんわ denwa,にほんご nihongo,はん han,でんわ denwa,ばんごう bangou,
,"You went back to your host family's house and say ただいま。(tadaima), what does your host mother say back to you?",おかえりなさい okaerinasai,おはよう ohayou,ありがとう arigatou,いってきます ittekimasu,おかえりなさい okaerinasai,
,"You accidentally stepped on someone's foot on the train, what do you say?",すみません sumimasen,こんにちは konnichiwa,いただきます itadakimasu,すみません sumimasen,おかえり okaeri,
,"You are meeting someone for the first time, what do you say?",よろしくおねがいします yoroshiku onegaishimasu,よろしくおねがいします yoroshiku onegaishimasu,ありがとうございます arigatou gosaimasu,すみません sumimasen,いただきます itadakimasu,
,"How do you say ""4 o'clock""?",よじ yoji,ようじ youji,よじ yoji,よんじ yonji,ようんじ younji,
,"How do you say ""9 o'clock""?",くじ kuji,きゅうじ kyuuji,きゅじ kyuji,くじ kuji,こんじ konji,
,"How do you say ""half past three""?",さんじはん sanjihan,さんじ sanji,さじはん sajihan,さんじはん sanjihan,さじ saji,
,"How do you say ""twenty years old""",はたち hatachi,はたち hatachi,にさい nisai,はちさい hachisai,じゅうにさい jyuunisai,
,"How do you say ""one year old""?",いっさい issai,いっさい issai,いちさい ichisai,いさい isai,いちいさい ichiisai,
,"How do you say ""ten years old""?",じゅっさい jyussai,じさい jisai,じゅさい jyusai,じゅうさい jyuusai,じゅっさい jyussai,
,"How do you say ""fourth year student""?",よねんせい yonensei,よんねんせい yonnensei,よねんせい yonensei,ごねんせい gonensei,さんねんせい sannensei,
