 ,,,,,,,
,,,,,,,
Reading,Question,Answer,A,B,C,D,image
,Choose the correct English translation for the following word: えいご,English,Korean,English,England,Britain,
,おかあさん,Mother,Aunt,Mother,Father,Uncle,
,けいざい,Economics,History,Business,Computer,Economics,
,What is the correct Japanese translation for the following word: jeans,ジーンズ,ジンズ,ジーンズ,ジインズ,ジーズ,
, bicycle,じてんしゃ,じてんしゃ,しんぶん,やさい,とけい,
,meat,にく,やさい,にく,じてんしゃ,さかな,
,Which one of these words is something that you can eat?,とんかつ,とんかつ,メニュー,おいしい,じてんしゃ,
,Which one of these words is something that you can you wear?,ぼうし,ぼうし,さいふ,かさ,ノート,
,Choose the correct word that matches the picture.,ペン,ペン,ほん,しぶん,くつ,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgC4AEmTp-fmxq7wsMTpt5hX9l8PrF0-kkxKrzHlG4j2su6OZ8ewJt74RgR6uF9INiWoHZRTrJ6RdZMKDac2hjzKo4GA0l8LzJcnzRXejccxVurp84dlc0cM1Eflq61D6GJR8jx6jeOKBI/s400/book.png
,Choose the correct word that matches the picture.,ぎんこう,コンビニ,トイレ,ゆうびんきょく,ぎんこう,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgAOAlWmcJBZiT4PHKkNUE_E6sAcEShBaMhyZ0ksOhftNY0KSohfh6cTgajHx5iL6RdhjNL9RUFhbAJJpUC2cXYySCjLJc9qOqQ_tiG1MAQJ7OHocMWnt4ETES1mYcMlNHmLnCG5jYINqk/s400/tatemono_bank_money.png
,Choose the correct word that matches the picture.,としょかん,としょかん,かんこく,ゆうびんきょく,ぎんこう,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj8OM8PeN5D_NG2URYnMzX1zJQXSEYl_PaNiw3KJKDYT8EXhKFtwdNBcYSnNoxPqLsEoDY8pVwNFVD3NFrnHczvzckJRrQsRjL32aIXN7z_ZsS1Fxu9tOGcw_2VYgp3P_iVvpvBwyQ0KeQ/s450/tatemono_tosyokan.png
,"How do you say ""here"" in Japanese?",ここ,ここ,どこ,のこ,あこ,
,"How do you say ""which..."" in Japanese",どの,だれ,どこ,どの,どれ,
,"How do you say ""that one"" in Japanese",それ,それ,あれ,これ,どれ,
,"How do you say the following in Japanese: ""China is here.""",ちゅうごくはここです。,イギリスはあそこです。,ちゅうごくはここです。,かんこくはここです。,インドはそこです。,
,"What is the English translation of ""それはいくらですか”",How much is this? (Close to person the speaker is talking to),How much is this? (Close to speaker),How much is that? (Far from the speaker and the person they are talking to),How much is that? (Close to person the speaker is talking to),What is this?,
,"You enter a store and the clerk greets you, what do they say?",いらっしゃいませ,どうぞ,どもありがとうございます,いってきます,いらっしゃいませ,
,Fill in the blank.＿はかさです。(This is an umbrella),これ,これ,この,それ,その,
,Fill in the blank. わたし＿です。(My shoes),のくつ,のかさ,はとけい,のくつ,のにく,
,"How do you say the following in Japanese: ""The bicycle is over there""",じてんしゃはあそこです。,やさいはそこです。,じてんしゃはあそこです。,しんぶんはあそこです。,とけいはあそこです。,
